,input,output
0,달이 뜸이 높았다.,높은 달이 떴다.
1,실없는 사람이 까불까불한다.,실없는 사람이 까불까불한다.
2,나는 철수에게 공을 던졌다.,나는 철수에게 공을 던졌다.
3,내가 순이와 우리가 다툰다.,내가 순이와 둘이서 다툰다.
4,나는 부지런히 뛰어졌다.,나는 부지런히 뛰었다.
5,죄는 사랑이 아니다.,사랑이 죄는 아니다.
6,철수에게는 영미가 가면적으로 미웠다.,철수는 영미를 가면적으로 미워하였다.
7,그녀가 그에 의해서 감기를 옮겨졌다.,그가 그녀에게 감기를 옮겼다.
8,어린이가 살음이 많았다.,어린이가 많이 살았다.
9,영희가 나에게 좋아를 한다.,영희가 나에게 좋다.
10,고양이가 꽃밭을 파헤쳐 두었다.,고양이가 꽃밭을 파헤쳐 놓았다.
11,영수가 밥을 먹었고서 철수가 밥을 먹겠다.,영수가 밥을 먹고 나서 철수가 밥을 먹겠다.
12,우리는 열심히 공부해야 하자.,우리는 열심히 공부해야 한다.
13,"나는 ""이젠 살았구나""라고 굴 밖으로 나왔다.","나는 ""이젠 살았구나""하고 굴 밖으로 나왔다."
14,방이 더워한다.,영호가 더워한다.
15,철수가 나는 뱀이 징그럽다고 말했다.,철수는 뱀이 징그럽다고 말했다.
16,체온이 식음이 싸늘했다.,체온이 싸늘하니 식어 있다.
17,나는 모순을 그 말이 된다고 생각한다.,나는 그 말이 모순이 된다고 생각한다.
18,복희가 결혼했다고 소문이 있다.,복희가 결혼했다고 소문이 떠돈다.
19,이웃이 밉지 말자.,이웃을 미워하지 말자.
20,너는 앞으로 불쌍한 이를 돕겠다.,나는 앞으로 불쌍한 이를 돕겠다.
21,도둑이 칼을 들어서 밥을 먹는다.,도둑이 칼을 들고 밥을 먹는다.
22,창수가 편지를 쓰고 주었다.,창수가 편지를 써 주었다.
23,철수가 그림을 매우는 잘 그린다.,철수가 그림을 매우 잘 그린다.
24,철수가 추우냐?,철수가 추워하느냐?
25,먹은 바를 다 소화시켜야 한다.,먹은 바를 다 소화시켜야 한다.
26,영자가 철수와 영수와랑 싸운다.,영자가 철수랑 영수랑과 싸운다.
27,그는 살인한 죄목으로 처형되었다.,그는 살인했다는 죄목으로 처형되었다.
28,내일까지 계속 손 들어!,내일까지 계속 손 들고 있어!
29,사람은 언제나 젊을 수는 없다.,사람은 언제나 젊을 수는 없다.
30,저 아이에게 이 그릇이 선반에 얹혔다.,저 아이에게 이 그릇을 선반에 얹히세요.
31,언어는 사회적 약속이다. 언어는 사회적 약속이다는 소쉬르의 정의다.,언어는 사회적 약속이다. 그것은 소쉬르의 정의다.
32,그는 지금 갔었다.,그는 지금 간다.
33,그가 팔을 곧이 뻗는다.,그가 팔을 곧이 뻗는다.
34,나는 그를 길에서 우연히 만나 주었다.,나는 그를 길에서 우연히 만났다.
35,그가 내 차를 고장 내어 두었다.,그가 내 차를 고장 내어 놓았다.
36,그가 시큰둥하니 나를 안다.,그가 나를 시큰둥하니 안다.
37,그들은 기꺼이 자동차에 다 타졌다.,그들은 기꺼이 자동차에 탔다.
38,나는 책상을 방에서 마루에 놓았다.,나는 책상을 방에서 마루로 옮겼다.
39,"나는 ""역시 영희가 철수보다 낫구나""라고 느꼈다.","나는 ""역시 영희가 철수보다 낫구나."" 하고 느꼈다."
40,그가 나를 굳게 따라온다.,그가 나를 굳이 따라온다.
41,철수가 자오.,철수가 자오.
42,천재이더라도 그 문제는 풀지 못할 것이다.,천재일지라도 그 문제는 풀지 못할 것이다.
43,노인이 혼자 사는 것이 아직 안 됐어서 쌀을 한 말 보내 주었다.,노인이 혼자 사는 것이 매우 안 됐어서 쌀을 한 말 보내 주었다.
44,나는 그는 노래를 부르고는 피아노를 쳤다.,나는 그는 노래를 부르고는 피아노를 쳤다.
45,철수가 영수의 손을 잡고 눈물을 글썽거렸다.,철수가 영수의 손을 잡고 눈물을 글썽거렸다.
46,내가 영희를 좋아를 하더라.,내가 영희가 좋더라.
47,부자는 철수가 되었다.,철수가 부자는 되었다.
48,마음이 든든은 한데 개운치는 못하다.,마음이 든든은 한데 개운치는 못하다.
49,사람은 학생이다.,이 사람은 학생이다.
50,그는 나에게 돈을 빌려 주었다는 일이 있다.,그는 나에게 돈을 빌려 준 일이 있다.
51,나는 웅변적을 그 말이 아니라고 생각한다.,나는 그 말이 웅변적이 아니라고 생각한다.
52,믿거나 마시오!,믿거나 말거나 하시오!
53,그는 얼굴이 못 아주 났다.,그는 얼굴이 아주 못났다.
54,나는 종소리를 더 잘 듣더라.,나는 종소리가 더 잘 들리더라.
55,경찰은 나를 살인범이라고 취급했다.,경찰은 나를 살인범이라고 취급했다.
56,이 물건은 우리와 공용된다.,이 물건은 나와 영수한테 공용된다.
57,나는 철수에게 추워하느냐고 물었다.,나는 철수에게 추우냐고 물었다.
58,그의 업적은 길게 빛난다.,그의 업적은 길게 빛난다.
59,마시지 말면서 이야기해라.,마시면서 이야기해라.
60,놀라서 기가 막아졌다.,놀라서 기가 막혔다.
61,그 문을 10분 동안 닫았다가 열었다.,그 문을 10분 동안 닫아 놓았다가 열었다.
62,누구는 이 반에서 달리기를 제일 잘 하느냐?,누가 이 반에서 달리기를 제일 잘 하느냐?
63,너는 그 거지는 왕자라는 사실을 알고 있느냐?,너는 그 거지가 왕자라는 사실을 알고 있느냐?
64,철수는 사기꾼이 좋으냐?,너는 사기꾼이 좋으냐?
65,아저씨가 무섭지 말아라.,아저씨를 무서워하지 말아라.
66,순경이 시계는 훔친 도둑놈을 잡았다.,순경이 시계를 훔친 도둑놈을 잡았다.
67,악동들에게는 일부러 잔디가 뽑혔다.,악동들은 일부러 잔디를 뽑았다.
68,철수에게 이 나무가 뽑혀라.,철수가 이 나무를 뽑아라.
69,철학자는 상식을 깊은 연구를 한다.,철학자는 상식을 연구를 한다.
70,무너진 담을 그대로 놓았다.,무너진 담을 그대로 두었다.
71,철수가 학교에 가지 않아서 공부한다.,철수가 학교에 가서 공부한다.
72,철수가 더우냐?,철수가 더워하느냐?
73,죽이든 살려라!,죽이든 살리든 해라!
74,나는 네가 이 사건의 주모자를 된다고 들었다.,나는 이 사건의 주모자를 네가 된다고 들었다.
75,네가 그 일을 맡자.,내가 그 일을 맡자.
76,절대로 와라.,절대로 오지 말아라.
77,그는 계획을 밀고 계속해서 나간다.,그는 계획을 밀고 나간다.
78,별이 연거푸 반짝한다.,별이 연거푸 반짝한다.
79,아무리 밀어 놓아도 밀리지 않는다.,아무리 밀어도 밀리지 않는다.
80,버스와 막 화물차가 부딪쳤다.,버스와 막 화물차가 부딪쳤다.
81,화초가 시들었습니다. 꽃밭에 물을 줄까?,화초가 시들었습니다. 꽃밭에 물을 줄까?
82,철수가 어머니에게 우리가 빨리 떠나자고 말했다.,철수가 어머니에게 빨리 떠나자고 말했다.
83,바위에 구멍이 쉽게 뚫리었다.,바위에 구멍이 쉽게 뚫어졌다.
84,뛰겠으면 뛰지 말아라.,뛰지 않겠으면 뛰지 말아라.
85,이 작은 글씨는 확대경에 읽어졌다.,이 작은 글씨는 확대경으로 읽어졌다.
86,영자가 영수하고 헤어졌다.,영자가 영수와 헤어졌다.
87,그는 버스에 의자에 앉았다.,그는 버스에서 의자에 앉았다.
88,철호가 성실하다고 나에게 보인다.,철호가 성실하다고 나에게 보인다.
89,나는 네가 이 사건의 주모자를이라고 들었다.,나는 이 사건의 주모자를 너라고 들었다.
90,나는 유학했으려고 한다.,나는 유학하려고 한다.
91,창수는 아침 일찍 학교에 뛰었다.,창수는 아침 일찍 학교에 뛰어 걸어갔다.
92,영수의 퍽 동생이 아프다.,영수가 동생이 퍽 아프다.
93,그 아이가 넘어지지 말도록 해.,그 아이가 넘어지지 않도록 해.
94,내일 비가 와서 땅이 질겠다.,어제 비가 와서 땅이 질었다.
95,복남이는 칼을 연필과 샀다.,복남이는 칼을 연필과 함께 샀다.
96,소녀가 외롭니 앉아 있다.,소녀가 차분하니 앉아 있다.
97,그곳에 가지 않아라.,그곳에 가지 말아라.
98,저고리가 아이에게 입어졌다.,저고리가 아이에게 입혀졌다.
99,그것을 사랑이라고 부르기로 부른다.,그것을 사랑이라고 부르기로 한다.
100,나는 전세가 불리하다고 할 사실을 알았다.,나는 전세가 불리하다고 한 사실을 알았다.
101,소년 방금 한 명이 왔다.,소년이 방금 한 명이 왔다.
102,선생님이 학생들에게 우리가 놀자고 제안하셨다.,선생님이 학생들에게 놀자고 먼저 제안하셨다.
103,비가 그렇게 많이 오는데 그가 올 리를 있느냐.,비가 그렇게 많이 오는데 그가 올 리가 있느냐.
104,마음이 든든을 하고 있다.,마음이 든든을 하다.
105,물건이 손수 손님에게 골라진다.,손님은 물건을 손수 고른다.
106,나는 오늘의 이 기쁨이 마음껏 기쁘겠다.,나는 오늘의 이 기쁨을 마음껏 기뻐하겠다.
107,철수는 영화가 보고 싶어 한다.,철수는 영화를 보고 싶어 한다.
108,영수가 밥을 먹어서 학교에 갔다.,영수가 밥을 먹고 학교에 갔다.
109,철수는 갔지만 창수는 갔다.,철수는 갔지만 창수는 안 갔다.
110,창문 밖으로 내다 빨리 보아라.,창문 밖으로 내다 빨리 보아라.
111,난 쇠고기를 먹어도 돼지고기를 안 먹는다.,난 쇠고기는 먹어도 돼지고기는 안 먹는다.
112,나는 너를 이 사건의 주모자를이라고 들었다.,나는 너를 이 사건의 주모자라고 들었다.
113,그의 눈동자는 까만 빛 난다.,그의 눈동자는 까만 빛이 난다.
114,순이가 점심을 먹지가 않는다.,순이가 점심을 먹지를 않는다.
115,철수가 제 방에서 자서 제 방에 간다.,철수가 제 방에서 자서 제 방에 간다.
116,철수는 모자를 쓰며 간다.,철수는 모자를 쓰며 간다.
117,굴뚝이 저절로 막아졌다.,굴뚝이 저절로 막히었다.
118,음식이 마련됨이 넉넉했다.,음식이 넉넉히 마련되었다.
119,네가 할 수 있겠거나 없겠거나 알아보아라.,네가 할 수 있겠는지 없겠는지 알아보아라.
120,그는 굉장한 화가 났다.,그는 아주 화가 났다.
121,내가 산 물건이 사실이다.,내가 산 물건이 책이다.
122,내가 철수는 책을 주었다.,철수는 내가 책을 주었다.
123,영수가 그 새를 죽였기 때문에 그 새가 죽었다.,영수가 그 새를 죽게 했기 때문에 그 새가 죽었다.
124,그 건물은 왼쪽 벽에 많은 유리창을 하였다.,그 건물은 왼쪽 벽에 많은 유리창을 하였다.
125,영철이가 우체국에 가고 편지를 부쳤다.,영철이가 우체국에 가서 편지를 부쳤다.
126,그이가 발음이 똑똑히 말한다.,그이가 발음이 똑똑하게 말한다.
